"keys","ru","uk","en"
"ГНОМОБОЙ","ГНОМОБОЙ","ГНОМОБІЙ","GNOME SLAYER"
"Полчища злобных гномов вылезли из своих нор.
Меч в руки — и за работу.","Полчища злобных гномов вылезли из своих нор.
Меч в руки — и за работу.","Полчища злих гномів вилізли зі своїх нір.
Меч у руки — і до роботи.","Hordes of wicked gnomes have crawled out of their burrows.
Grab your sword and get to work."
"ИГРАТЬ","ИГРАТЬ","ГРАТИ","PLAY"
"МУЛЬТИПЛЕЕР","МУЛЬТИПЛЕЕР","МУЛЬТИПЛЕЄР","MULTIPLAYER"
"НАСТРОЙКИ","НАСТРОЙКИ","НАЛАШТУВАННЯ","SETTINGS"
"ВЫХОД","ВЫХОД","ВИХІД","QUIT"
"WASD — движение · Мышь — камера · ЛКМ — атака · ПКМ — блок · Пробел — кувырок
Shift — бег · E — открыть сундук / поднять друга · V — рация · T — чат · 1-5 — предметы","WASD — движение · Мышь — камера · ЛКМ — атака · ПКМ — блок · Пробел — кувырок
Shift — бег · E — открыть сундук / поднять друга · V — рация · T — чат · 1-5 — предметы","WASD — рух · Миша — камера · ЛКМ — атака · ПКМ — блок · Пробіл — перекид
Shift — біг · E — відкрити скриню / підняти друга · V — рація · T — чат · 1-5 — предмети","WASD — move · Mouse — camera · LMB — attack · RMB — block · Space — dodge roll
Shift — run · E — open chest / revive friend · V — voice · T — chat · 1-5 — items"
"ОДИНОЧНАЯ ИГРА","ОДИНОЧНАЯ ИГРА","ОДИНОЧНА ГРА","SINGLE PLAYER"
"В БОЙ","В БОЙ","ДО БОЮ","FIGHT"
"НАЗАД","НАЗАД","НАЗАД","BACK"
"Имя:","Имя:","Ім'я:","Name:"
"Локация:","Локация:","Локація:","Location:"
"Случайно","Случайно","Випадково","Random"
"Кроссплей Windows и Linux. Порты или Radmin VPN.","Кроссплей Windows и Linux. Порты или Radmin VPN.","Кросплей Windows і Linux. Порти або Radmin VPN.","Windows and Linux crossplay. Port forwarding or Radmin VPN."
"СОЗДАТЬ СЕРВЕР","СОЗДАТЬ СЕРВЕР","СТВОРИТИ СЕРВЕР","HOST GAME"
"ПРИСОЕДИНИТЬСЯ","ПРИСОЕДИНИТЬСЯ","ПРИЄДНАТИСЯ","JOIN GAME"
"Режим:","Режим:","Режим:","Mode:"
"ПвЕ — вместе против волн","ПвЕ — вместе против волн","ПвЕ — разом проти хвиль","PvE — co-op against waves"
"ПвП — арена с руинами, до 10 убийств","ПвП — арена с руинами, до 10 убийств","ПвП — арена з руїнами, до 10 вбивств","PvP — ruins arena, first to 10 kills"
"Порт:","Порт:","Порт:","Port:"
"Твои адреса (дай другу нужный):
","Твои адреса (дай другу нужный):
","Твої адреси (дай другові потрібну):
","Your addresses (give your friend the right one):
"
"IP сервера:","IP сервера:","IP сервера:","Server IP:"
"Интернет: IP хоста (нужен проброс порта)
Radmin VPN / Hamachi / LAN: IP из сети VPN (26.x.x.x и т.п.)","Интернет: IP хоста (нужен проброс порта)
Radmin VPN / Hamachi / LAN: IP из сети VPN (26.x.x.x и т.п.)","Інтернет: IP хоста (потрібен проброс порту)
Radmin VPN / Hamachi / LAN: IP з мережі VPN (26.x.x.x тощо)","Internet: host IP (port forwarding required)
Radmin VPN / Hamachi / LAN: VPN network IP (26.x.x.x etc.)"
"ПОДКЛЮЧИТЬСЯ","ПОДКЛЮЧИТЬСЯ","ПІДКЛЮЧИТИСЯ","CONNECT"
"ЗАПУСТИТЬ СЕРВЕР","ЗАПУСТИТЬ СЕРВЕР","ЗАПУСТИТИ СЕРВЕР","START SERVER"
"Некорректный порт.","Некорректный порт.","Некоректний порт.","Invalid port."
"Не удалось открыть порт %d (занят?).","Не удалось открыть порт %d (занят?).","Не вдалося відкрити порт %d (зайнятий?).","Failed to open port %d (already in use?)."
"Некорректный адрес.","Некорректный адрес.","Некоректна адреса.","Invalid address."
"Подключение к %s...","Подключение к %s...","Підключення до %s...","Connecting to %s..."
"ПАУЗА","ПАУЗА","ПАУЗА","PAUSED"
"(бой продолжается — это мультиплеер)","(бой продолжается — это мультиплеер)","(бій триває — це мультиплеєр)","(the battle goes on — this is multiplayer)"
"ПРОДОЛЖИТЬ","ПРОДОЛЖИТЬ","ПРОДОВЖИТИ","RESUME"
"ПОКИНУТЬ ИГРУ","ПОКИНУТЬ ИГРУ","ПОКИНУТИ ГРУ","LEAVE GAME"
"ПОБЕДА!","ПОБЕДА!","ПЕРЕМОГА!","VICTORY!"
